Gene	Tau	Classification	Specific_parts
Glyma.01G017800	0.4981816494025513	Broad	NA
Glyma.01G017900	0.45751518354786447	Broad	NA
Glyma.01G018000	0.4809516599981333	Broad	NA
Glyma.01G018100	0.598511138291614	Broad	NA
Glyma.01G018400	0.4383432262159431	Broad	NA
Glyma.01G018600	0.2977442257279535	Broad	NA
Glyma.01G018651	0.6690091448669299	Broad	NA
Glyma.01G018700	0.454067892244431	Broad	NA
Glyma.01G018800	0.5923750373319039	Broad	NA
Glyma.01G019000	0.6059689724432972	Broad	NA
Glyma.01G019100	0.43518217342810445	Broad	NA
Glyma.01G019200	0.6918943160641325	Broad	NA
Glyma.01G019300	0.6340778287165683	Broad	NA
Glyma.01G019400	0.35812823143601347	Broad	NA
Glyma.01G019500	0.6567177381956069	Broad	NA
Glyma.01G019700	0.4063403054693892	Broad	NA
Glyma.01G019800	0.3363494885388445	Broad	NA
Glyma.01G019900	0.38939284573505745	Broad	NA
Glyma.01G020100	0.7711535347820776	Broad	NA
Glyma.01G020200	0.4253419252924937	Broad	NA
Glyma.01G020300	0.13087082334975364	Broad	NA
Glyma.01G020400	0.7551665206910474	Broad	NA
Glyma.01G020900	0.6968250938783077	Broad	NA
Glyma.01G021200	0.6817801754580473	Broad	NA
Glyma.01G021301	0.2427657480142899	Broad	NA
Glyma.01G021400	0.41888112043768244	Broad	NA
Glyma.01G021600	0.27819172653707125	Broad	NA
Glyma.01G022100	0.22080578459106087	Broad	NA
Glyma.01G022400	0.6206368944582299	Broad	NA
Glyma.01G022500	0.6886564949909307	Broad	NA
Glyma.01G022600	0.5577461684651421	Broad	NA
Glyma.01G022700	0.5391112835825822	Broad	NA
Glyma.01G022800	0.5286213717732426	Broad	NA
Glyma.01G023000	0.4238164031131211	Broad	NA
Glyma.01G023200	0.26424981626311295	Broad	NA
Glyma.01G023300	0.3087403589742685	Broad	NA
Glyma.01G023500	0.5884210259682322	Broad	NA
Glyma.01G023600	0.3438818947742662	Broad	NA
Glyma.01G023700	0.36553617053054627	Broad	NA
Glyma.01G023900	0.23543894407082006	Broad	NA
Glyma.01G024000	0.43432677089864097	Broad	NA
Glyma.01G024300	0.7552086916868124	Broad	NA
Glyma.01G024500	0.7954782763486441	Broad	NA
Glyma.01G024600	0.20455432000690227	Broad	NA
Glyma.01G024700	0.4845350377118396	Broad	NA
Glyma.01G025000	0.5267041194483589	Broad	NA
Glyma.01G025100	0.33851850456226446	Broad	NA
Glyma.01G025200	0.7235622891311292	Broad	NA
Glyma.01G025300	0.5643393775910055	Broad	NA
Glyma.01G025500	0.44768637192424665	Broad	NA
Glyma.01G025600	0.3399946148694065	Broad	NA
Glyma.01G025800	0.5428365502477734	Broad	NA
Glyma.01G026000	0.35966053496379635	Broad	NA
Glyma.01G026100	0.14247879752978163	Broad	NA
Glyma.01G026200	0.6532539338789857	Broad	NA
Glyma.01G026500	0.377989721112468	Broad	NA
Glyma.01G026600	0.6384586986962546	Broad	NA
Glyma.01G026700	0.4574374724972941	Broad	NA
Glyma.01G026800	0.3047593682302502	Broad	NA
Glyma.01G027300	0.18032305323949777	Broad	NA
Glyma.01G027500	0.43854730568557054	Broad	NA
Glyma.01G027700	0.2583094848309426	Broad	NA
Glyma.01G027800	0.545891737717344	Broad	NA
Glyma.01G028100	0.5276617266205875	Broad	NA
Glyma.01G028200	0.5403879508130958	Broad	NA
Glyma.01G028300	0.7418732637052516	Broad	NA
Glyma.01G028500	0.6736735383168592	Broad	NA
Glyma.01G028600	0.6070407882529405	Broad	NA
Glyma.01G028700	0.2553179388015373	Broad	NA
Glyma.01G028800	0.4512355291493182	Broad	NA
Glyma.01G028900	0.21632943315914638	Broad	NA
Glyma.01G029000	0.17349837490148023	Broad	NA
Glyma.01G029100	0.23145299966612873	Broad	NA
Glyma.01G029200	0.16853124316342322	Broad	NA
Glyma.01G029400	0.14331884744246695	Broad	NA
Glyma.01G029500	0.28953126854162864	Broad	NA
Glyma.01G029600	0.11906238322216908	Broad	NA
Glyma.01G029700	0.5747088402500083	Broad	NA
Glyma.01G029800	0.13835211058007826	Broad	NA
Glyma.01G030000	0.5089998828072824	Broad	NA
Glyma.01G030300	0.5949097428777065	Broad	NA
Glyma.01G030400	0.35396405925097474	Broad	NA
Glyma.01G030500	0.5134830062466612	Broad	NA
Glyma.01G030600	0.15366517696261053	Broad	NA
Glyma.01G030800	0.10815278096688066	Broad	NA
Glyma.01G030900	0.46373353269123374	Broad	NA
Glyma.01G031300	0.6609494736242646	Broad	NA
Glyma.01G031400	0.2260658335425532	Broad	NA
Glyma.01G031500	0.4716937726746035	Broad	NA
Glyma.01G031700	0.2512328716288971	Broad	NA
Glyma.01G031800	0.7188399045895251	Broad	NA
Glyma.01G031900	0.4126377161884281	Broad	NA
Glyma.01G032000	0.4289283573089565	Broad	NA
Glyma.01G032100	0.2826438538662597	Broad	NA
Glyma.01G032300	0.6283119495658257	Broad	NA
Glyma.01G032500	0.0954197059152795	Broad	NA
Glyma.01G032600	0.5503847291561372	Broad	NA
Glyma.01G032900	0.6411189981398152	Broad	NA
Glyma.01G033000	0.5128671594994871	Broad	NA
Glyma.01G033200	0.6957745144120014	Broad	NA
Glyma.01G033300	0.5983541878537489	Broad	NA
Glyma.01G033400	0.6192788305398391	Broad	NA
Glyma.01G033700	0.5092272689963585	Broad	NA
Glyma.01G033800	0.5194210521632884	Broad	NA
Glyma.01G033900	0.6240222231275441	Broad	NA
Glyma.01G034000	0.6436941042389086	Broad	NA
Glyma.01G034100	0.6821156794769663	Broad	NA
Glyma.01G034300	0.41199088877526147	Broad	NA
Glyma.01G034600	0.8119630534976087	Broad	NA
Glyma.01G034900	0.6166078388375084	Broad	NA
Glyma.01G035000	0.7423865733262903	Broad	NA
Glyma.01G035100	0.3672007458539	Broad	NA
Glyma.01G035300	0.5057831674159983	Broad	NA
Glyma.01G035500	0.6273546951627429	Broad	NA
Glyma.01G035600	0.6161932362413161	Broad	NA
Glyma.01G035700	0.4345407504380609	Broad	NA
Glyma.01G036000	0.7906350884162882	Broad	NA
Glyma.01G036200	0.3457115312276047	Broad	NA
Glyma.01G036500	0.3015727279247567	Broad	NA
Glyma.01G036700	0.14393148412167092	Broad	NA
Glyma.01G036751	0.8005043596409384	Broad	NA
Glyma.01G036800	0.6080382161243083	Broad	NA
Glyma.01G036900	0.647407001701525	Broad	NA
Glyma.01G037200	0.6467407974860222	Broad	NA
Glyma.01G037300	0.2940225397487818	Broad	NA
Glyma.01G037400	0.3218657507100735	Broad	NA
Glyma.01G037700	0.3494560299394552	Broad	NA
Glyma.01G037800	0.7763613469774476	Broad	NA
Glyma.01G037900	0.40974181381269437	Broad	NA
Glyma.01G038100	0.48923303638012833	Broad	NA
Glyma.01G038250	0.2902686936508453	Broad	NA
Glyma.01G038300	0.3853932110030725	Broad	NA
Glyma.01G038400	0.6251008226724157	Broad	NA
Glyma.01G038500	0.49516546511690657	Broad	NA
Glyma.01G038600	0.32298517689896306	Broad	NA
