BioSample	BioProject	Mapping_rate
SAMN01883198	PRJNA185753	14.8371
SAMN01883197	PRJNA185753	4.82893
SAMN01883196	PRJNA185753	15.2658
SAMN01883195	PRJNA185753	3.9967
SAMN01883194	PRJNA185753	8.69685
SAMN01883193	PRJNA185753	5.73289
SAMN01883225	PRJNA185754	21.0825
SAMN01883224	PRJNA185754	4.92095
SAMN01883223	PRJNA185754	22.7503
SAMN01883222	PRJNA185754	3.08814
SAMN01883221	PRJNA185754	11.6834
SAMN01883220	PRJNA185754	3.35004
SAMN01883219	PRJNA185754	4.28419
SAMN01883218	PRJNA185754	4.40527
SAMN01883217	PRJNA185754	6.52019
SAMN01883216	PRJNA185754	8.3939800000000009
SAMN01883215	PRJNA185754	1.99247
SAMN01883214	PRJNA185754	10.6532
SAMN01883213	PRJNA185754	3.07578
SAMN01883212	PRJNA185754	3.678
SAMN01883211	PRJNA185754	1.81102
SAMN01883210	PRJNA185754	13.166
SAMN01883209	PRJNA185754	3.0705
SAMN02314548	PRJNA214792	12.9383
SAMN02314550	PRJNA214792	19.3478
SAMN02314551	PRJNA214792	6.84858
SAMN02314547	PRJNA214792	9.22773
SAMN02314549	PRJNA214792	1.9124
SAMN02314553	PRJNA214792	2.02842
SAMN02314546	PRJNA214792	0.156226
SAMN02314552	PRJNA214792	5.48365
SAMN03734637	PRJNA248303	3.04122
SAMN03734637	PRJNA248303	3.04122
SAMN03734636	PRJNA248303	19.1317
SAMN02796845	PRJNA248303	12.2204
SAMN02796845	PRJNA248303	12.2204
SAMN02796842	PRJNA248303	14.5228
SAMN02796842	PRJNA248303	14.5228
SAMN02796847	PRJNA248303	19.4937
SAMN02796840	PRJNA248303	27.9038
SAMN02796841	PRJNA248303	21.4726
SAMN02796846	PRJNA248303	20.2873
SAMN02796846	PRJNA248303	20.2873
SAMN02796839	PRJNA248303	12.2664
SAMN02796839	PRJNA248303	12.2664
SAMN02796839	PRJNA248303	12.2664
SAMN02796837	PRJNA248303	17.5774
SAMN02796837	PRJNA248303	17.5774
SAMN02796843	PRJNA248303	10.3834
SAMN02796838	PRJNA248303	15.1427
SAMN02796835	PRJNA248303	13.0049
SAMN02796836	PRJNA248303	17.7763
SAMN02796833	PRJNA248303	15.0335
SAMN02796833	PRJNA248303	15.0335
SAMN02796834	PRJNA248303	15.0662
SAMN02796834	PRJNA248303	15.0662
SAMN02905710	PRJNA253461	7.81511
SAMN02905709	PRJNA253461	4.88063
SAMN02870693	PRJNA253461	89.0689
SAMN02870692	PRJNA253461	90.0085
SAMN02870686	PRJNA253461	10.9847
SAMN02870684	PRJNA253461	14.1841
SAMN02870683	PRJNA253461	10.2476
SAMN02870682	PRJNA253461	7.75523
SAMN02870681	PRJNA253461	15.815
SAMN02870680	PRJNA253461	16.2455
SAMN02870679	PRJNA253461	23.0903
SAMN02870678	PRJNA253461	20.2406
SAMN02870677	PRJNA253461	21.9382
SAMN02870676	PRJNA253461	6.6024
SAMN02870675	PRJNA253461	4.62684
SAMN02870674	PRJNA253461	3.98607
SAMN02870643	PRJNA253461	5.55624
SAMN02870685	PRJNA253461	10.8871
SAMN03389595	PRJNA277363	1.76964
SAMN03389613	PRJNA277363	0.517791
SAMN03389601	PRJNA277363	0.0613065
SAMN03389611	PRJNA277363	0.0745058
SAMN03389593	PRJNA277363	0.488541
SAMN03389612	PRJNA277363	0.106846
SAMN03389594	PRJNA277363	1.40781
SAMN03389607	PRJNA277363	0.231922
SAMN03389603	PRJNA277363	NA
SAMN03389591	PRJNA277363	NA
SAMN03389590	PRJNA277363	0.878761
SAMN03389587	PRJNA277363	0.252652
SAMN03389600	PRJNA277363	0.250711
SAMN03389605	PRJNA277363	0.0374988
SAMN03389599	PRJNA277363	1.51583
SAMN03389606	PRJNA277363	0.508656
SAMN03389589	PRJNA277363	NA
SAMN03389609	PRJNA277363	NA
SAMN03389597	PRJNA277363	0.823016
SAMN03389610	PRJNA277363	0.112324
SAMN03731186	PRJNA284751	NA
SAMN03731185	PRJNA284751	NA
SAMN04125392	PRJNA295411	91.4635
SAMN04125391	PRJNA295411	89.9085
SAMN04125390	PRJNA295411	87.957
SAMN04125389	PRJNA295411	91.2928
SAMN04125388	PRJNA295411	90.0147
SAMN04125387	PRJNA295411	91.5905
SAMN04125386	PRJNA295411	90.1716
SAMN04125385	PRJNA295411	90.702
SAMN04281009	PRJNA302826	92.139
SAMN04281009	PRJNA302826	92.139
SAMN04281009	PRJNA302826	92.139
SAMN04281009	PRJNA302826	92.139
SAMN04281009	PRJNA302826	92.139
SAMN04281009	PRJNA302826	92.139
SAMN04320554	PRJNA305219	90.6996
SAMN04320554	PRJNA305219	90.6996
SAMN04320554	PRJNA305219	90.6996
SAMN04320554	PRJNA305219	90.6996
SAMN04349717	PRJNA306380	91.4623
SAMN04349716	PRJNA306380	90.2703
SAMN04349715	PRJNA306380	92.1536
SAMN04349714	PRJNA306380	91.0767
SAMN04349713	PRJNA306380	92.3985
SAMN04349712	PRJNA306380	91.9478
SAMN04349711	PRJNA306380	92.0368
SAMN04349731	PRJNA306380	92.0934
SAMN04349730	PRJNA306380	92.6854
SAMN04349729	PRJNA306380	92.0005
SAMN04349728	PRJNA306380	90.7185
SAMN04349710	PRJNA306380	91.4658
SAMN04349727	PRJNA306380	90.3116
SAMN04349726	PRJNA306380	86.3608
SAMN04349725	PRJNA306380	90.2089
SAMN04349724	PRJNA306380	92.0439
SAMN04349723	PRJNA306380	90.7133
SAMN04349722	PRJNA306380	90.1543
SAMN04349721	PRJNA306380	91.4399
SAMN04349720	PRJNA306380	89.0405
SAMN04349719	PRJNA306380	91.7195
SAMN04349718	PRJNA306380	92.1884
SAMN04349709	PRJNA306380	91.0126
SAMN04349708	PRJNA306380	91.5723
SAMN04364228	PRJNA306741	87.9743
SAMN04364229	PRJNA306741	88.7127
SAMN04364223	PRJNA306741	87.3423
SAMN04364224	PRJNA306741	88.402
SAMN04362176	PRJNA306741	89.8133
SAMN04364218	PRJNA306741	90.3416
SAMN04364219	PRJNA306741	89.4679
SAMN04364220	PRJNA306741	89.1495
SAMN04364222	PRJNA306741	90.0681
SAMN04364225	PRJNA306741	87.0793
SAMN04364226	PRJNA306741	89.1353
SAMN04364221	PRJNA306741	89.6893
SAMN04447890	PRJNA310164	NA
SAMN04447891	PRJNA310164	NA
SAMN04447888	PRJNA310164	NA
SAMN04447889	PRJNA310164	NA
SAMN04811604	PRJNA318321	87.5189
SAMN04811577	PRJNA318321	89.2871
SAMN04811569	PRJNA318321	90.6731
SAMN04811539	PRJNA318321	91.412
SAMN04811513	PRJNA318321	90.3289
SAMN05207283	PRJNA324522	91.204
SAMN05207283	PRJNA324522	91.204
SAMN05207283	PRJNA324522	91.204
SAMN05207283	PRJNA324522	91.204
SAMN05207283	PRJNA324522	91.204
SAMN05207283	PRJNA324522	91.204
SAMN05207283	PRJNA324522	91.204
SAMN05207283	PRJNA324522	91.204
SAMN05207283	PRJNA324522	91.204
SAMN05327840	PRJNA327272	86.4371
SAMN05327839	PRJNA327272	92.33
SAMN05327838	PRJNA327272	92.0595
SAMN05327837	PRJNA327272	92.7636
SAMN05327836	PRJNA327272	93.0244
SAMN05327835	PRJNA327272	92.3526
SAMN05327834	PRJNA327272	91.8274
SAMN05327854	PRJNA327272	93.1663
SAMN05327853	PRJNA327272	91.5366
SAMN05327852	PRJNA327272	91.3776
SAMN05327851	PRJNA327272	92.4849
SAMN05327833	PRJNA327272	92.9707
SAMN05327850	PRJNA327272	93.6417
SAMN05327849	PRJNA327272	93.3712
SAMN05327848	PRJNA327272	92.2517
SAMN05327847	PRJNA327272	93.422
SAMN05327846	PRJNA327272	93.1491
SAMN05327845	PRJNA327272	92.8215
SAMN05327844	PRJNA327272	92.3333
SAMN05327843	PRJNA327272	92.4873
SAMN05327842	PRJNA327272	92.7858
SAMN05327841	PRJNA327272	92.0922
SAMN05327832	PRJNA327272	92.4362
SAMN05503912	PRJNA336056	87.5863
SAMN05503913	PRJNA336056	86.5901
SAMN05503914	PRJNA336056	88.6683
SAMN05503915	PRJNA336056	87.7723
SAMN05503917	PRJNA336056	86.2058
SAMN05503916	PRJNA336056	83.013
SAMN05601561	PRJNA339653	93.8983
SAMN05601561	PRJNA339653	93.8983
SAMN05601560	PRJNA339653	94.6126
SAMN05601560	PRJNA339653	94.6126
SAMN05601560	PRJNA339653	94.6126
SAMN05601559	PRJNA339653	87.1865
SAMN05601559	PRJNA339653	87.1865
SAMN05601559	PRJNA339653	87.1865
SAMN05601558	PRJNA339653	91.5193
SAMN05601558	PRJNA339653	91.5193
SAMN05601558	PRJNA339653	91.5193
SAMN05908869	PRJNA348534	90.3337
SAMN05908868	PRJNA348534	90.1479
SAMN05908891	PRJNA348534	92.9374
SAMN05908890	PRJNA348534	89.4246
SAMN05908889	PRJNA348534	91.204
SAMN05908888	PRJNA348534	90.8206
SAMN05908856	PRJNA348534	93.3418
SAMN05908855	PRJNA348534	92.0697
SAMN05908894	PRJNA348534	90.0591
SAMN05908892	PRJNA348534	82.1094
SAMN05908881	PRJNA348534	93.2916
SAMN05908882	PRJNA348534	91.0544
SAMN05908884	PRJNA348534	85.1063
SAMN05908887	PRJNA348534	85.593
SAMN05908880	PRJNA348534	89.6085
SAMN05908878	PRJNA348534	76.6472
SAMN05908871	PRJNA348534	92.3364
SAMN05908870	PRJNA348534	92.0695
SAMN05908873	PRJNA348534	90.9683
SAMN05908872	PRJNA348534	93.1363
SAMN05908875	PRJNA348534	93.0929
SAMN05908874	PRJNA348534	93.7318
SAMN05908877	PRJNA348534	92.6665
SAMN05908876	PRJNA348534	92.2583
SAMN05915168	PRJNA348731	93.2506
SAMN05915161	PRJNA348731	93.0868
SAMN05915163	PRJNA348731	91.5516
SAMN05915167	PRJNA348731	92.7996
SAMN05915164	PRJNA348731	92.8531
SAMN05915159	PRJNA348731	92.9217
SAMN05915170	PRJNA348731	93.2516
SAMN05915160	PRJNA348731	91.7593
SAMN05915166	PRJNA348731	91.4157
SAMN05915165	PRJNA348731	92.8479
SAMN05915169	PRJNA348731	91.856
SAMN05915162	PRJNA348731	93.3126
SAMN05929795	PRJNA349267	90.7778
SAMN05929793	PRJNA349267	89.2728
SAMN05929794	PRJNA349267	90.3863
SAMN06017460	PRJNA353600	89.2834
SAMN06435843	PRJNA356948	87.4023
SAMN06435843	PRJNA356948	87.4023
SAMN06435843	PRJNA356948	87.4023
SAMN06435843	PRJNA356948	87.4023
SAMN06212811	PRJNA360609	92.2372
SAMN06212812	PRJNA360609	93.0773
SAMN06212813	PRJNA360609	93.4774
SAMN06212814	PRJNA360609	93.702
SAMN06212815	PRJNA360609	92.7659
SAMN06212816	PRJNA360609	93.2557
SAMN06212809	PRJNA360609	93.4842
SAMN06212810	PRJNA360609	93.4494
SAMN06277421	PRJNA369113	95.1592
SAMN06277421	PRJNA369113	95.1592
SAMN06277421	PRJNA369113	95.1592
SAMN06277422	PRJNA369113	93.9151
SAMN06277422	PRJNA369113	93.9151
SAMN06277422	PRJNA369113	93.9151
SAMN06277423	PRJNA369113	94.3981
SAMN06277423	PRJNA369113	94.3981
SAMN06277423	PRJNA369113	94.3981
SAMN06277424	PRJNA369113	93.8616
SAMN06277424	PRJNA369113	93.8616
SAMN06277424	PRJNA369113	93.8616
SAMN06277425	PRJNA369113	94.103
SAMN06277425	PRJNA369113	94.103
SAMN06277425	PRJNA369113	94.103
SAMN06277426	PRJNA369113	94.5575
SAMN06277426	PRJNA369113	94.5575
SAMN06277426	PRJNA369113	94.5575
SAMN06277427	PRJNA369113	94.3005
SAMN06277427	PRJNA369113	94.3005
SAMN06277427	PRJNA369113	94.3005
SAMN06277428	PRJNA369113	93.5489
SAMN06277428	PRJNA369113	93.5489
SAMN06277428	PRJNA369113	93.5489
SAMN06277429	PRJNA369113	93.9462
SAMN06277429	PRJNA369113	93.9462
SAMN06277429	PRJNA369113	93.9462
SAMN06277430	PRJNA369113	94.0663
SAMN06277430	PRJNA369113	94.0663
SAMN06277430	PRJNA369113	94.0663
SAMN06277431	PRJNA369113	94.055
SAMN06277431	PRJNA369113	94.055
SAMN06277431	PRJNA369113	94.055
SAMN06277432	PRJNA369113	94.2883
SAMN06277432	PRJNA369113	94.2883
SAMN06277432	PRJNA369113	94.2883
SAMN06277433	PRJNA369113	95.0662
SAMN06277433	PRJNA369113	95.0662
SAMN06277433	PRJNA369113	95.0662
SAMN06277434	PRJNA369113	94.7119
SAMN06277434	PRJNA369113	94.7119
SAMN06277434	PRJNA369113	94.7119
SAMN06277435	PRJNA369113	93.8895
SAMN06277435	PRJNA369113	93.8895
SAMN06277435	PRJNA369113	93.8895
SAMN06277436	PRJNA369113	94.0935
SAMN06277436	PRJNA369113	94.0935
SAMN06277436	PRJNA369113	94.0935
SAMN06277437	PRJNA369113	93.9511
SAMN06277437	PRJNA369113	93.9511
SAMN06277437	PRJNA369113	93.9511
SAMN06277438	PRJNA369113	93.9335
SAMN06277438	PRJNA369113	93.9335
SAMN06277438	PRJNA369113	93.9335
SAMN06277439	PRJNA369113	93.7337
SAMN06277439	PRJNA369113	93.7337
SAMN06277439	PRJNA369113	93.7337
SAMN06277440	PRJNA369113	93.3178
SAMN06277440	PRJNA369113	93.3178
SAMN06277440	PRJNA369113	93.3178
SAMN06277441	PRJNA369113	94.268
SAMN06277441	PRJNA369113	94.268
SAMN06277441	PRJNA369113	94.268
SAMN06277442	PRJNA369113	94.2598
SAMN06277442	PRJNA369113	94.2598
SAMN06277442	PRJNA369113	94.2598
SAMN06277443	PRJNA369113	94.2616
SAMN06277443	PRJNA369113	94.2616
SAMN06277443	PRJNA369113	94.2616
SAMN06277444	PRJNA369113	94.5912
SAMN06277444	PRJNA369113	94.5912
SAMN06277444	PRJNA369113	94.5912
SAMN06277413	PRJNA369113	94.121
SAMN06277413	PRJNA369113	94.121
SAMN06277413	PRJNA369113	94.121
SAMN06277419	PRJNA369113	93.5563
SAMN06277419	PRJNA369113	93.5563
SAMN06277419	PRJNA369113	93.5563
SAMN06277420	PRJNA369113	93.9673
SAMN06277420	PRJNA369113	93.9673
SAMN06277420	PRJNA369113	93.9673
SAMN06277448	PRJNA369113	94.015
SAMN06277448	PRJNA369113	94.015
SAMN06277448	PRJNA369113	94.015
SAMN06277447	PRJNA369113	94.3474
SAMN06277447	PRJNA369113	94.3474
SAMN06277447	PRJNA369113	94.3474
SAMN06277446	PRJNA369113	94.5624
SAMN06277446	PRJNA369113	94.5624
SAMN06277446	PRJNA369113	94.5624
SAMN06277445	PRJNA369113	94.2771
SAMN06277445	PRJNA369113	94.2771
SAMN06277445	PRJNA369113	94.2771
SAMN06277414	PRJNA369113	93.8158
SAMN06277414	PRJNA369113	93.8158
SAMN06277414	PRJNA369113	93.8158
SAMN06277415	PRJNA369113	93.759
SAMN06277415	PRJNA369113	93.759
SAMN06277415	PRJNA369113	93.759
SAMN06277416	PRJNA369113	94.193
SAMN06277416	PRJNA369113	94.193
SAMN06277416	PRJNA369113	94.193
SAMN06277417	PRJNA369113	93.9764
SAMN06277417	PRJNA369113	93.9764
SAMN06277417	PRJNA369113	93.9764
SAMN06277418	PRJNA369113	94.1232
SAMN06277418	PRJNA369113	94.1232
SAMN06277418	PRJNA369113	94.1232
SAMN06285467	PRJNA369414	0.00185236
SAMN06285468	PRJNA369414	0.0265176
SAMN06285469	PRJNA369414	9.19337e-4
SAMN06285470	PRJNA369414	0.00490551
SAMN06285471	PRJNA369414	0.0159551
SAMN06285472	PRJNA369414	0.00115903
SAMN06285473	PRJNA369414	0.00381521
SAMN06285474	PRJNA369414	0.00171724
SAMN06285475	PRJNA369414	7.48555e-4
SAMN06285476	PRJNA369414	0.00432571
SAMN06285477	PRJNA369414	0.00507068
SAMN06285478	PRJNA369414	0.0137643
SAMN06285479	PRJNA369414	6.7842e-4
SAMN06285451	PRJNA369414	0.00283966
SAMN06285452	PRJNA369414	1.18095e-4
SAMN06285453	PRJNA369414	7.87789e-4
SAMN06285454	PRJNA369414	0.00739114
SAMN06285455	PRJNA369414	0.0054048
SAMN06285456	PRJNA369414	0.00442755
SAMN06285457	PRJNA369414	91.1911
SAMN06285408	PRJNA369414	91.8655
SAMN06285409	PRJNA369414	91.6982
SAMN06285410	PRJNA369414	91.471
SAMN06285411	PRJNA369414	76.6356
SAMN06285412	PRJNA369414	77.1422
SAMN06285413	PRJNA369414	90.2528
SAMN06285414	PRJNA369414	77.4206
SAMN06285415	PRJNA369414	77.2257
SAMN06285437	PRJNA369414	91.2167
SAMN06285438	PRJNA369414	77.8016
SAMN06285439	PRJNA369414	91.9992
SAMN06285440	PRJNA369414	91.3282
SAMN06285441	PRJNA369414	91.5692
SAMN06285396	PRJNA369414	91.6993
SAMN06285397	PRJNA369414	91.5385
SAMN06285398	PRJNA369414	91.7127
SAMN06285399	PRJNA369414	91.6839
SAMN06285400	PRJNA369414	92.5221
SAMN06285436	PRJNA369414	92.2704
SAMN06285416	PRJNA369414	91.0698
SAMN06285417	PRJNA369414	0.956409
SAMN06285418	PRJNA369414	0.92532
SAMN06285419	PRJNA369414	1.42869
SAMN06285420	PRJNA369414	1.03291
SAMN06285421	PRJNA369414	1.15165
SAMN06285422	PRJNA369414	1.04864
SAMN06285423	PRJNA369414	0.840671
SAMN06285424	PRJNA369414	0.916568
SAMN06285425	PRJNA369414	0.882124
SAMN06285426	PRJNA369414	1.01237
SAMN06285428	PRJNA369414	0.906283
SAMN06285429	PRJNA369414	1.07192
SAMN06285430	PRJNA369414	1.0137
SAMN06285431	PRJNA369414	1.15817
SAMN06285432	PRJNA369414	0.803805
SAMN06285433	PRJNA369414	0.760868
SAMN06285434	PRJNA369414	0.749953
SAMN06285435	PRJNA369414	0.713857
SAMN06313145	PRJNA372408	89.1075
SAMN06314056	PRJNA372409	91.4828
SAMN06313281	PRJNA372493	90.1776
SAMN06313451	PRJNA372494	90.5392
SAMN06313671	PRJNA372495	87.7624
SAMN06313746	PRJNA372496	89.9963
SAMN06313442	PRJNA372497	86.0778
SAMN06313223	PRJNA372498	89.68
SAMN06313277	PRJNA372499	92.106
SAMN06313252	PRJNA372500	91.7581
SAMN06313136	PRJNA372501	86.1919
SAMN06314036	PRJNA372502	90.9202
SAMN06313864	PRJNA372503	88.2739
SAMN06313998	PRJNA372504	69.2535
SAMN06313971	PRJNA372505	73.08
SAMN06313280	PRJNA372506	60.5177
SAMN06313861	PRJNA372507	83.9448
SAMN06313745	PRJNA372508	67.0865
SAMN06314030	PRJNA372509	76.1906
SAMN06313636	PRJNA372510	89.5604
SAMN06313916	PRJNA372511	82.1341
SAMN06313522	PRJNA372512	91.6017
SAMN06313352	PRJNA372513	87.0807
SAMN06313968	PRJNA372514	87.5691
SAMN06314076	PRJNA372515	82.9837
SAMN06313290	PRJNA372516	87.8217
SAMN06313312	PRJNA372517	82.875
SAMN06313358	PRJNA372518	87.1962
SAMN06313418	PRJNA372519	88.6971
SAMN06313595	PRJNA372520	86.8385
SAMN06313389	PRJNA372522	81.8581
SAMN06313772	PRJNA372523	76.7913
SAMN06313670	PRJNA372524	60.6541
SAMN06313150	PRJNA372526	58.6797
SAMN06313578	PRJNA372529	63.3266
SAMN06313385	PRJNA372530	68.4566
SAMN06313761	PRJNA372531	89.7794
SAMN06313158	PRJNA372532	88.9631
SAMN06313396	PRJNA372533	90.279
SAMN06313235	PRJNA372534	88.3626
SAMN06314788	PRJNA373195	91.4234
SAMN06314462	PRJNA373279	82.9593
SAMN06314408	PRJNA373280	78.592
SAMN06314479	PRJNA373281	78.1065
SAMN06314799	PRJNA373282	59.2787
SAMN06314393	PRJNA373608	91.2194
SAMN06314339	PRJNA373609	85.4203
SAMN06314533	PRJNA373610	89.0199
SAMN06314417	PRJNA373611	74.3028
SAMN06314328	PRJNA373612	87.3935
SAMN06314465	PRJNA373614	89.1232
SAMN06314450	PRJNA373615	89.9564
SAMN06313900	PRJNA373616	77.6832
SAMN06314242	PRJNA373617	80.4755
SAMN06314800	PRJNA373618	90.8674
SAMN06314692	PRJNA373619	85.8374
SAMN06314490	PRJNA373621	87.8188
SAMN06313335	PRJNA373622	90.2919
SAMN06314373	PRJNA373623	88.5683
SAMN06314704	PRJNA373624	88.396
SAMN06314411	PRJNA373625	91.0054
SAMN06313415	PRJNA373626	88.2466
SAMN06314403	PRJNA373627	90.7734
SAMN06314439	PRJNA373628	60.7451
SAMN06314297	PRJNA373629	90.0494
SAMN06314348	PRJNA373630	90.5432
SAMN06314367	PRJNA373632	90.5967
SAMN06314597	PRJNA373633	89.3678
SAMN06314413	PRJNA373634	89.2444
SAMN06314345	PRJNA373635	90.8078
SAMN06314503	PRJNA373636	91.226
SAMN06314299	PRJNA373637	87.5373
SAMN06314501	PRJNA373639	91.2885
SAMN06313751	PRJNA373640	75.6499
SAMN06314298	PRJNA373641	88.6383
SAMN06314392	PRJNA373642	84.349
SAMN06314665	PRJNA373643	73.4294
SAMN06313247	PRJNA373644	90.5967
SAMN06314697	PRJNA373645	90.8145
SAMN06314287	PRJNA373646	68.3451
SAMN06314611	PRJNA373647	82.8141
SAMN06314310	PRJNA373648	83.7421
SAMN06314313	PRJNA373649	89.9786
SAMN06314500	PRJNA373650	74.6578
SAMN06314275	PRJNA373651	66.122
SAMN06314374	PRJNA373652	78.022
SAMN06314797	PRJNA373653	92.2802
SAMN06314552	PRJNA373654	68.7446
SAMN06314621	PRJNA373655	83.788
SAMN06320227	PRJNA374025	94.2056
SAMN06320227	PRJNA374025	94.2056
SAMN06320227	PRJNA374025	94.2056
SAMN06320227	PRJNA374025	94.2056
SAMN06320228	PRJNA374025	95.2089
SAMN06320228	PRJNA374025	95.2089
SAMN06320228	PRJNA374025	95.2089
SAMN06320228	PRJNA374025	95.2089
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06335258	PRJNA374753	3.92912
SAMN06434851	PRJNA376551	87.9155
SAMN06434852	PRJNA376551	89.8173
SAMN06434853	PRJNA376551	88.1488
SAMN06434854	PRJNA376551	86.3503
SAMN06434855	PRJNA376551	85.2768
SAMN06434856	PRJNA376551	87.5775
SAMN06644736	PRJNA380530	93.2514
SAMN06644736	PRJNA380530	93.2514
SAMN06644736	PRJNA380530	93.2514
SAMN06644736	PRJNA380530	93.2514
SAMN06644736	PRJNA380530	93.2514
SAMN06644736	PRJNA380530	93.2514
SAMN06644736	PRJNA380530	93.2514
SAMN07109350	PRJNA386612	90.8305
SAMN07109350	PRJNA386612	90.8305
SAMN07130376	PRJNA386934	45.1978
SAMN07130376	PRJNA386934	45.1978
SAMN07130378	PRJNA386934	83.5151
SAMN07130378	PRJNA386934	83.5151
SAMN07130388	PRJNA386934	88.239
SAMN07130388	PRJNA386934	88.239
SAMN07130386	PRJNA386934	44.937
SAMN07130386	PRJNA386934	44.937
SAMN07130387	PRJNA386934	44.3524
SAMN07130387	PRJNA386934	44.3524
SAMN07130385	PRJNA386934	44.4076
SAMN07130385	PRJNA386934	44.4076
SAMN07130383	PRJNA386934	89.1674
SAMN07130381	PRJNA386934	90.6521
SAMN07130381	PRJNA386934	90.6521
SAMN07130396	PRJNA386934	89.952
SAMN07130396	PRJNA386934	89.952
SAMN07130389	PRJNA386934	46.0051
SAMN07130389	PRJNA386934	46.0051
SAMN07130390	PRJNA386934	46.178
SAMN07130390	PRJNA386934	46.178
SAMN07130391	PRJNA386934	91.5963
SAMN07130391	PRJNA386934	91.5963
SAMN07130392	PRJNA386934	89.5646
SAMN07130393	PRJNA386934	46.2265
SAMN07130393	PRJNA386934	46.2265
SAMN07130394	PRJNA386934	46.2158
SAMN07130394	PRJNA386934	46.2158
SAMN07130395	PRJNA386934	46.0629
SAMN07130395	PRJNA386934	46.0629
SAMN07190377	PRJNA389118	81.2035
SAMN07190376	PRJNA389118	82.5991
SAMN07190375	PRJNA389118	82.289
SAMN07190374	PRJNA389118	81.8773
SAMN07190381	PRJNA389118	84.3783
SAMN07190380	PRJNA389118	83.7797
SAMN07190379	PRJNA389118	84.3572
SAMN07190378	PRJNA389118	84.2183
SAMN07190383	PRJNA389118	83.0457
SAMN07190382	PRJNA389118	82.689
SAMN07190387	PRJNA389118	84.5692
SAMN07190362	PRJNA389118	74.5772
SAMN07190363	PRJNA389118	84.1585
SAMN07190356	PRJNA389118	85.3493
SAMN07190357	PRJNA389118	85.4242
SAMN07190354	PRJNA389118	85.3946
SAMN07190355	PRJNA389118	86.3186
SAMN07190360	PRJNA389118	87.1035
SAMN07190361	PRJNA389118	85.0215
SAMN07190358	PRJNA389118	86.5715
SAMN07190359	PRJNA389118	77.5828
SAMN07190388	PRJNA389118	81.1631
SAMN07190389	PRJNA389118	84.1028
SAMN07190372	PRJNA389118	81.4982
SAMN07190373	PRJNA389118	81.883
SAMN07190366	PRJNA389118	84.9017
SAMN07190367	PRJNA389118	80.9596
SAMN07190364	PRJNA389118	88.0552
SAMN07190365	PRJNA389118	85.4993
SAMN07190370	PRJNA389118	82.5468
SAMN07190371	PRJNA389118	85.5666
SAMN07190368	PRJNA389118	82.8677
SAMN07190369	PRJNA389118	82.2441
SAMN07190385	PRJNA389118	83.9024
SAMN07190386	PRJNA389118	83.0068
SAMN07190384	PRJNA389118	85.4339
SAMN07337666	PRJNA393573	86.937
SAMN07337668	PRJNA393573	87.3526
SAMN07337669	PRJNA393573	88.0195
SAMN07337670	PRJNA393573	87.7307
SAMN07337671	PRJNA393573	86.9643
SAMN07337673	PRJNA393573	86.6537
SAMN07337674	PRJNA393573	86.9485
SAMN07342107	PRJNA393826	64.8659
SAMN07342106	PRJNA393826	66.4278
SAMN07342105	PRJNA393826	73.8266
SAMN07342104	PRJNA393826	66.4729
SAMN07342103	PRJNA393826	70.971
SAMN07342102	PRJNA393826	61.8319
SAMN07373176	PRJNA395215	94.4932
SAMN07373177	PRJNA395215	94.3843
SAMN07373178	PRJNA395215	95.6885
SAMN07373179	PRJNA395215	93.2534
SAMN07373180	PRJNA395215	93.8204
SAMN07373181	PRJNA395215	93.3523
SAMN07373183	PRJNA395215	92.9993
SAMN07373184	PRJNA395215	91.4616
SAMN07373185	PRJNA395215	92.5077
SAMN07373144	PRJNA395215	90.5668
SAMN07373145	PRJNA395215	91.6243
SAMN07373146	PRJNA395215	91.0751
SAMN07373147	PRJNA395215	88.0923
SAMN07373148	PRJNA395215	90.9751
SAMN07373149	PRJNA395215	94.364
SAMN07373150	PRJNA395215	94.4055
SAMN07373151	PRJNA395215	94.4612
SAMN07373152	PRJNA395215	94.1424
SAMN07373153	PRJNA395215	94.4107
SAMN07373154	PRJNA395215	93.5728
SAMN07373155	PRJNA395215	93.2183
SAMN07373156	PRJNA395215	93.4224
SAMN07373157	PRJNA395215	83.6371
SAMN07373158	PRJNA395215	91.5854
SAMN07373159	PRJNA395215	91.7796
SAMN07373160	PRJNA395215	90.3338
SAMN07373161	PRJNA395215	92.6482
SAMN07373162	PRJNA395215	89.5381
SAMN07373163	PRJNA395215	90.3411
SAMN07373164	PRJNA395215	89.7198
SAMN07373167	PRJNA395215	93.3368
SAMN07373168	PRJNA395215	89.3136
SAMN07373169	PRJNA395215	92.6731
SAMN07373170	PRJNA395215	91.8823
SAMN07373171	PRJNA395215	92.7624
